Accession	length	HVR_length	ncbi_taxid	ncbi_phylum	Domain	Phylum	Class	Order	Family	Genus	Species	genome_size
KOQ58417.1	389	149	85698	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Achromobacter	s__Achromobacter ruhlandii	5876049
WP_068234500.1	275	35	1712383	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Rheinheimera	s__Rheinheimera sp001513785	4396207
WP_089728591.1	422	182	119000	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas_C	s__Halomonas_C muralis	4138450
WP_036798668.1	273	33	1479239	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Erythrobacter	s__Erythrobacter sp000744895	3174974
OKP01248.1	372	132	1873484	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Xenorhabdus	s__Xenorhabdus thuongxuanensis	3938299
SDJ91234.1	269	29	393762	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Natronincolaceae	g__Natronincola	s__Natronincola ferrireducens	3107081
WP_114193441.1	455	215	2267246	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edaphovirga	s__Edaphovirga cremea	5193810
WP_109728288.1	418	178	636	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Edwardsiella	s__Edwardsiella tarda	3640939
WP_049282099.1	418	178	57706	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	5242830
WP_031435695.1	486	246	438855	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Methylomonadaceae	g__Methylomarinum	s__Methylomarinum vadi	4335162
BAM07766.1	275	35	1162668	Nitrospirae	d__Bacteria	p__Nitrospirota_A	c__Leptospirillia	o__Leptospirillales	f__Leptospirillaceae	g__Leptospirillum	s__Leptospirillum ferrooxidans	2559538
KPH90936.1	466	226	43660	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas undina	4016359
EQC44835.1	276	36	1353529	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__BSW11-IV	s__BSW11-IV sp000447755	3650096
WP_070176189.1	476	236	1856405	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alteromonas_A	s__Alteromonas_A lipolytica	4996662
WP_048722708.1	267	27	580165	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A cytotoxicus	4303547
PEG26769.1	270	30	137838	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium neonatale	4739640
OEC61717.1	557	317	1535636	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_F	s__Pseudomonas_F otitidis	5772172
WP_009150942.1	436	196	631362	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Chromatiales	f__Chromatiaceae	g__Thiorhodovibrio_A	s__Thiorhodovibrio_A sp000228725	5342862
EQB26369.1	410	170	1123288	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Sporomusales	f__Sporomusaceae	g__Sporomusa	s__Sporomusa ovata	5383666
WP_098966318.1	345	105	1404	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_H	g__Priestia	s__Priestia megaterium	5888189
ABV85392.1	272	32	398579	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Shewanellaceae	g__Shewanella	s__Shewanella pealeana	5174581
ABB43453.1	392	152	326298	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Sulfurimonadaceae	g__Sulfurimonas	s__Sulfurimonas denitrificans	2201561
EZQ19219.1	491	251	653930	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_D	s__Pseudomonas_D bauzanensis	3541633
OBP15381.1	266	26	1827365	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pararheinheimera	s__Pararheinheimera sp001669775	5163701
KUO95693.1	442	202	1765683	Firmicutes	d__Bacteria	p__Firmicutes	c__Alicyclobacillia	o__Alicyclobacillales	f__Acidibacillaceae	g__Acidibacillus	s__Acidibacillus ferrooxidans_B	3164591
KGK12979.1	375	135	29495	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio navarrensis	4899555
WP_076235266.1	276	36	1491	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_H	s__Clostridium_H botulinum_B	3005167
WP_055668122.1	276	36	1650662	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Desnuesiella	s__Desnuesiella massiliensis	5503198
WP_075492688.1	632	392	195	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D coli	1695750
WP_054620465.1	505	265	1735038	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Rhodocyclaceae	g__Oryzomicrobium	s__Oryzomicrobium terrae	3526415
WP_090061098.1	423	183	588602	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Celeribacter	s__Celeribacter neptunius	4398584
WP_096704029.1	526	286	1979370	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__Magnetospirillaceae	g__Phaeospirillum	s__Phaeospirillum sp900184795	5422516
AFH50269.1	262	22	945713	Ignavibacteriae	d__Bacteria	p__Bacteroidota	c__Ignavibacteria	o__Ignavibacteriales	f__Ignavibacteriaceae	g__Ignavibacterium	s__Ignavibacterium album	3658997
WP_046212872.1	218	-22	1567107	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Paenibacillales	f__Paenibacillaceae	g__Paenibacillus_J	s__Paenibacillus_J wulumuqiensis	5240711
KJV38482.1	266	26	1628191	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Brevundimonas	s__Brevundimonas sp005484585	3099203
KTD98907.1	324	84	1348395	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas sp001468485	4030082
RCW91865.1	280	40	1286148	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Yoonia	s__Yoonia sediminilitoris	4668516
WP_033921856.1	343	103	1550073	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingomonas	s__Sphingomonas sp000786205	3694812
PGD06324.1	363	123	1890302	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Bacillaceae_G	g__Bacillus_A	s__Bacillus_A wiedmannii	5513190
WP_076437729.1	439	199	1907408	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Beijerinckiaceae	g__Bosea	s__Bosea sp900156025	4718307
ERI92398.1	272	32	1321778	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__F0540	s__F0540 sp000466585	4767532
OLF78735.1	281	41	1772289	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Alteromonas	s__Alteromonas macleodii	4604222
WP_097460532.1	702	462	1982043	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Oleiphilaceae	g__Mangrovitalea	s__Mangrovitalea sediminis	4390369
WP_027204506.1	272	32	831	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio fibrisolvens_A	3164379
KDN59588.1	279	39	1484479	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Exiguobacterales	f__Exiguobacteraceae	g__Exiguobacterium	s__Exiguobacterium alkaliphilum	2853500
WP_062570301.1	279	39	874454	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Pseudoalteromonas	s__Pseudoalteromonas arabiensis	4459111
SBW03799.1	295	55	167968	Proteobacteria	d__Bacteria	p__Desulfobacterota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Mailhella	s__Mailhella sp900555975	1506092
SDI38816.1	444	204	568899	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_H	f__Marinococcaceae	g__Alteribacillus	s__Alteribacillus persepolensis	3619097
ANG97098.1	295	55	419475	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Ochrobactrum_A	s__Ochrobactrum_A pseudogrignonense	5531562
WP_028092548.1	273	33	337702	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Pseudodonghicola	s__Pseudodonghicola xiamenensis	4791472
EEC56699.1	270	30	483218	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Bacteroides_F	s__Bacteroides_F pectinophilus	3028326
GAC24912.1	274	34	1128912	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Alteromonadaceae	g__Paraglaciecola	s__Paraglaciecola mesophila	5055761
PMY81452.1	480	240	2070645	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E putida_H	6679095
KQW31732.1	397	157	1736437	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp001429245	4569637
OFC28467.1	492	252	33059	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Acidithiobacillales	f__Acidithiobacillaceae	g__Acidithiobacillus_A	s__Acidithiobacillus_A caldus	3122206
WP_035521349.1	513	273	159450	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Paraburkholderia	s__Paraburkholderia sacchari	7273086
KMS51805.1	627	387	1114963	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium barchaimii	5313474
WP_049629671.1	685	445	1622269	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Cellvibrionaceae	g__Cellvibrio	s__Cellvibrio sp001183545	4427922
KIS32598.1	289	49	1609758	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Novosphingobium	s__Novosphingobium sp000876675	6606532
PBN41934.1	362	122	2017595	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp002312805	5018715
WP_115325799.1	562	322	2052	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Mobiluncus	s__Mobiluncus mulieris	2524671
PID29119.1	295	55	2030808	Candidatus Cloacimonetes	d__Bacteria	p__Cloacimonadota	c__Cloacimonadia	o__Cloacimonadales	f__GCA-2742885	g__GCA-2742885	s__GCA-2742885 sp002742885	2171621
SEA11175.1	281	41	1122198	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Nitrincolaceae	g__Marinobacterium	s__Marinobacterium georgiense	3925261
SFH76470.1	539	299	1798186	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Pseudobutyrivibrio	s__Pseudobutyrivibrio sp900113655	3558369
WP_068442708.1	381	141	333962	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia heimbachae	4286000
PIL39106.1	479	239	1603353	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia psychrophila	4743467
WP_098439023.1	424	184	1761763	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea sp002563655	4514426
EOS76792.1	284	44	1235800	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__CAG-95	s__CAG-95 sp000403495	4571652
OIY24761.1	397	157	546	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Citrobacter	s__Citrobacter braakii	5184142
WP_095744079.1	548	308	436515	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Variovorax	s__Variovorax boronicumulans	6699939
WP_093272587.1	278	38	861298	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio xiamenensis	5501246
SHE57551.1	272	32	1533	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_AH	s__Clostridium_AH fallax	2852282
OJY69791.1	265	25	1895845	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Sphingobium	s__Sphingobium sp001899715	3996113
WP_064093080.1	271	31	189382	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__Bacillaceae_B	g__Rossellomorea	s__Rossellomorea aquimaris_D	4753727
WP_013480564.1	272	32	78587	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Caulobacteraceae	g__Asticcacaulis	s__Asticcacaulis excentricus_A	3793195
WP_072305931.1	485	245	971	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_J	2502678
EEG76545.1	276	36	555088	Firmicutes	d__Bacteria	p__Firmicutes_D	c__Dethiobacteria	o__Dethiobacterales	f__Dethiobacteraceae	g__Dethiobacter	s__Dethiobacter alkaliphilus	3116746
SAK41083.1	371	131	1777136	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Caballeronia	s__Caballeronia catudaia	7726733
PAZ00100.1	285	45	1982325	Verrucomicrobia	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Terrimicrobiaceae	g__UBA967	s__UBA967 sp002290555	1815431
OUR82826.1	482	242	1856281	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Methylococcales	f__Cycloclasticaceae	g__Cycloclasticus	s__Cycloclasticus sp002162695	2210308
WP_092337228.1	273	33	1855323	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Butyrivibrio	s__Butyrivibrio sp900116865	3666312
GAM11992.1	405	165	1321606	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales_B	f__DSM-18226	g__Mesobacillus	s__Mesobacillus selenatarsenatis	4756255
WP_074816964.1	441	201	971	Firmicutes	d__Bacteria	p__Firmicutes_C	c__Negativicutes	o__Selenomonadales	f__Selenomonadaceae	g__Selenomonas_A	s__Selenomonas_A ruminantium_J	2502678
WP_047885090.1	290	50	320778	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Photobacterium	s__Photobacterium ganghwense	5533005
SQF87204.1	583	343	47884	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E taetrolens	4936188
WP_058483552.1	474	234	452	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Legionellales	f__Legionellaceae	g__Legionella_C	s__Legionella_C spiritensis	3348070
WP_061834788.1	274	34	959	Proteobacteria	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Bdellovibrio	s__Bdellovibrio bacteriovorus_D	3926271
WP_071451629.1	306	66	197	Proteobacteria	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Campylobacteraceae	g__Campylobacter_D	s__Campylobacter_D jejuni	1949136
KXK29170.1	615	375	1617433	Candidatus Omnitrophica	d__Bacteria	p__OLB16	c__OLB16	o__OLB16	f__OLB16	g__OLB16	s__OLB16 sp001567115	4052939
ABJ98814.1	433	193	90371	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Salmonella	s__Salmonella enterica	4781509
WP_091871731.1	283	43	1164594	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Massilia	s__Massilia yuzhufengensis	5580237
PWJ83687.1	260	20	93369	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Pseudaminobacter	s__Pseudaminobacter salicylatoxidans	4836797
ENY71398.1	291	51	1268237	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Aeromonadaceae	g__Aeromonas	s__Aeromonas diversa	4026421
APC11219.1	423	183	587	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Providencia	s__Providencia rettgeri_D	5257078
SIQ97332.1	290	50	159291	Spirochaetes	d__Bacteria	p__Spirochaetota	c__Spirochaetia	o__Spirochaetales_C	f__Alkalispirochaetaceae	g__Alkalispirochaeta	s__Alkalispirochaeta americana	3309052
KQO27587.1	487	247	1736237	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Acidovorax	s__Acidovorax sp001422735	5749411
OAA93673.1	306	66	1705578	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_B	s__Clostridium_B ljungdahlii	4565108
RAZ83676.1	493	253	445629	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Cereibacter_A	s__Cereibacter_A johrii	4682077
CDB66903.1	407	167	1262885	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__Lachnospira	s__Lachnospira sp000436475	2618909
WP_091486900.1	287	47	426703	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Carnobacteriaceae	g__Alkalibacterium	s__Alkalibacterium putridalgicola	2588643
WP_038248752.1	361	121	40576	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Xenorhabdus	s__Xenorhabdus bovienii	4820668
ODS58011.1	319	79	1660088	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__Rhizobiaceae	g__Allorhizobium	s__Allorhizobium sp001724035	4475018
OSM03931.1	274	34	1434232	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Magnetococcia	o__Magnetococcales	f__Magnetococcaceae	g__Magnetofaba	s__Magnetofaba australis	4986701
WP_068585839.1	274	34	1685380	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Thiomicrospirales	f__Thiomicrospiraceae	g__Hydrogenovibrio	s__Hydrogenovibrio sp001507535	2279450
WP_111231909.1	283	43	2175644	Actinobacteria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Curtobacterium	s__Curtobacterium flaccumfaciens	4357272
WP_110297877.1	282	42	34015	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Blastomonas	s__Blastomonas natatoria	4045865
WP_009098068.1	680	440	595460	Planctomycetes	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Pirellulales	f__Pirellulaceae	g__Rhodopirellula	s__Rhodopirellula rubra	8777069
OUJ12183.1	324	84	1076594	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Acetobacterales	f__Acetobacteraceae	g__Acetobacter	s__Acetobacter okinawensis_A	2724937
WP_118499424.1	274	34	2293012	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Lachnospirales	f__Lachnospiraceae	g__TF01-11	s__TF01-11 sp001414325	3505684
KEI02070.1	290	50	1443124	Firmicutes	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium_H	s__Clostridium_H botulinum_A	3138765
WP_012988466.1	323	83	40576	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Enterobacteriaceae	g__Xenorhabdus	s__Xenorhabdus bovienii	4820668
WP_068144944.1	276	36	1662421	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Kordiimonadaceae	g__Kordiimonas	s__Kordiimonas lipolytica	4557777
AGU57137.1	400	160	882944	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio anguillarum	4117885
PCJ20319.1	932	692	2030808	Candidatus Cloacimonetes	d__Bacteria	p__Cloacimonadota	c__Cloacimonadia	o__Cloacimonadales	f__GCA-2742885	g__GCA-2742885	s__GCA-2742885 sp002742885	2171621
OYU18459.1	492	252	2015578	Proteobacteria	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Gemmobacter_B	s__Gemmobacter_B sp002256185	4085471
WP_054671713.1	538	298	373054	Firmicutes	d__Bacteria	p__Firmicutes	c__Bacilli	o__Calditerricolales	f__Calditerricolaceae	g__Calditerricola	s__Calditerricola satsumensis	2395869
WP_010050844.1	613	373	114	Planctomycetes	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Gemmatales	f__Gemmataceae	g__Gemmata	s__Gemmata obscuriglobus	8999201
